Label,Boarding time,Boarding_station,Alighting_station,Arrival_time
4000000216760534,647,1,5,669
4000140112702238,649,2,10,684
4000000221883145,647,1,6,674
4000003902090439,647,1,6,674
4000003903673234,696,15,17,702
4000000213568099,697,15,17,702
4000001830055128,692,13,17,702
4000000216612213,653,3,7,675
4000000006728882,647,1,11,685
4000000222074349,697,15,16,701
4000000227032202,642,0,11,685
4000001855102806,685,11,14,694
4000000215494588,641,0,6,674
4000000223295218,697,15,17,702
4000003903536749,641,0,13,692
4000003915996317,650,2,13,692
4000000216150122,1284,3,14,1317
4000001855066423,1295,5,6,1300
4000003904672299,1278,1,6,1300
4000003919828490,1279,2,14,1317
4000003926328088,1286,4,17,1320
4000003945422157,1286,4,17,1320
4000003945445135,1271,0,7,1302
4000000220037270,1279,2,14,1317
4000001840803007,1284,3,14,1317
4000140112439386,1259,0,14,1317
50000010011000858473,1316,14,15,1320
4000000213967808,1271,0,14,1317
4000000214394779,1316,14,16,1320
4000000217338307,1271,0,1,1278
4000000220253449,1279,2,14,1317
4000000227059215,1280,2,14,1317
4000000211433774,1263,0,14,1317
4000000214728907,1271,0,13,1315
4000000223321551,1279,2,4,1286
4000001840731351,1279,2,14,1317
4000001840906498,1271,0,14,1317
4000001855220670,1288,4,13,1315
4000003907356961,1308,11,15,1320
4000000310191268,1284,3,7,1302
4000000312447215,1279,2,13,1315
4000001840434330,1278,1,14,1317
4000001840538186,1279,2,14,1317
4000000216390744,1278,1,13,1315
4000000810104568,1271,0,8,1303
4000001512432559,1280,2,14,1317
4000000221561965,1279,2,9,1305
4000003927909258,1271,0,14,1317
4000003907441921,1286,4,17,1320
4000003945021309,1284,3,7,1302
4000000213393442,1280,2,14,1317
4000000215414373,1263,0,14,1317
4000000216717997,1280,2,14,1317
4000000214041483,398,1,17,448
4000000223450017,398,1,6,421
4000001520045395,394,0,4,406
4000000224001332,398,1,2,401
4000001520351432,430,11,14,440
4000001855208426,399,1,9,426
4000003906014585,437,13,17,448
4000140110179855,439,14,17,448
4000000213146914,437,13,15,443
4000000215059851,443,15,17,448
4000000214637073,398,1,6,421
4000000216272152,399,1,14,440
4000000312156131,405,4,6,421
4000000810014253,403,3,17,448
4000003926337068,399,1,17,448
4000000216603962,429,10,11,430
4000000221201911,439,14,17,448
4000000216887823,393,0,17,448
4000001840773200,421,6,9,426
4000050110009749,393,0,4,406
4000140112989075,398,1,14,440
4000000000677524,416,5,17,448
4000000213697629,398,1,17,448
4000000213990449,439,14,17,448
4000003923043003,399,1,17,448
4000000213760764,403,3,14,440
4000000214406414,430,11,14,440
4000000223667900,393,0,13,437
4000001010002241,439,14,17,448
4000140210034470,421,6,8,424
4000000211483169,398,1,9,426
4000000214156833,399,1,14,440
4000000217292023,399,1,14,440
4000000221694028,398,1,17,448
4000000221924243,393,0,6,421
4000000222410059,426,9,16,446
4000001840307508,403,3,6,421
4000003908491764,437,13,17,448
4000000214509047,403,3,14,440
4000001850228543,398,1,6,421
4000003934508293,403,3,5,416
4000000210397193,405,4,17,448
4000003912043107,399,1,17,448
4000200112021356,439,14,17,448
4000000213359598,393,0,9,426
4000000812031606,749,4,14,770
4000000215054061,724,0,14,770
4000000310884572,718,0,7,753
4000140120315025,724,0,13,767
4000000212360180,724,0,14,770
4000000217256880,733,2,14,770
4000140110006174,767,13,17,795
4000140120324684,730,1,17,795
3104920031320099061,733,2,9,756
4000000212392107,724,0,10,759
4000000213133922,733,2,14,770
4000000224258131,724,0,14,770
4000001830035233,752,6,13,767
3104920032000933389,724,0,14,770
4000140129020488,724,0,10,759
4000003938627190,724,0,14,770
4000000217633982,756,9,14,770
4000003908178875,730,2,14,770
4000000217482949,724,0,14,770
4000000810086341,762,11,15,772
4000200112046531,730,1,17,795
50000010011000856222,718,0,7,753
4000000210284371,1053,7,14,1071
4000000212014038,1030,3,7,1053
4000000212945380,1054,8,16,1077
4000000215522272,1030,3,16,1077
4000000221576482,1061,11,14,1071
4000000213833302,1033,4,13,1068
4000000312131557,1052,7,14,1071
4000001840935785,1074,15,17,1079
4000001840606271,1061,11,14,1071
4000150210067874,1030,3,13,1068
4000000210518695,1033,4,13,1068
4000000216288801,1026,1,14,1071
4000000223932163,1052,7,13,1068
4000001850134799,1061,11,13,1068
4000003902492064,1062,11,13,1068
4000000312016180,1060,10,13,1068
4000003909119237,1030,3,14,1071
4000000215408816,1026,1,17,1079
4000000220925408,1033,4,14,1071
4000001840186491,1061,11,14,1071
4000000001474680,1046,5,13,1068
4000001840861203,1057,9,14,1071
4000000211172949,1076,16,17,1079
4000000217614254,1052,7,14,1071
4000001529000513,1026,1,13,1068
4000001855318631,1061,11,14,1071
4000003929164179,1028,2,13,1068
4000000212497448,1052,7,15,1075
4000000220548838,1052,7,14,1071
4000000223304683,638,3,11,666
4000001830054319,640,4,6,656
4000000214636918,629,0,10,665
4000000311014377,666,11,14,673
4000003909189921,636,2,14,673
4000000223099922,636,2,15,675
4000001512398661,636,2,14,673
4000000223565378,638,3,14,673
4000000212552800,629,0,13,671
4000000214984333,636,2,14,673
4000000217577142,675,15,17,705
4000001512559830,636,2,14,673
4000000312280294,634,1,6,656
4000001520023291,672,14,17,705
4000050110010293,636,2,17,705
4000001830227933,628,0,13,671
4000003902840435,636,2,14,673
4000140110661949,636,2,14,673
4000000212751995,636,2,14,673
4000000215160718,1261,5,14,1282
4000000214650267,1247,2,14,1282
4000000215408816,1280,13,15,1285
4000000212008092,1250,3,13,1280
4000001840357265,1260,5,14,1282
4000000210927863,1240,0,5,1261
3104920031002297868,1245,1,13,1280
4000000221226500,1247,2,14,1282
4000000221428530,1246,1,6,1266
4000001840672233,1245,1,13,1280
4000003913788105,1225,0,14,1282
4000003931457016,1261,5,14,1282
4000000221302940,1232,0,14,1282
4000003906242967,1247,2,13,1280
4000000222888542,1260,5,14,1282
4000001840334345,1274,11,14,1282
4000000221901728,1275,11,13,1280
4000001850071222,1229,0,14,1282
4000000210012884,1240,0,13,1280
4000003901525209,757,0,7,787
4000000215354529,757,0,4,769
4000140112908834,758,0,6,785
4000000217289494,779,5,13,797
4000001855200220,763,1,13,797
4000000224014255,757,0,7,787
4000140129052956,827,0,7,861
4000003912018593,835,2,14,877
4000001850213051,835,2,14,877
4000000211642111,868,11,14,877
4000000217397279,827,0,13,875
4000000215628998,827,0,13,875
4000000215635674,835,2,14,877
4000000216365992,877,14,17,886
4000000220361774,827,0,7,861
4000140210046568,833,1,6,859
4000000210116635,827,0,15,880
4000000215565191,868,11,14,877
4000200112038609,859,6,12,871
4000000214290824,840,4,7,861
4000000221260068,864,9,14,877
4000001840754217,827,0,2,835
4000000006602728,660,5,6,665
4000000217175828,640,1,13,681
4000000223670228,644,3,9,671
4000140110445466,640,1,14,683
4000140110541688,630,0,13,681
4000140120196888,640,1,6,665
4000000223565378,629,0,14,683
4000000224114394,683,14,16,689
4000001830264497,681,13,15,687
4000001855166729,644,3,7,668
4000000005699681,642,2,11,675
4000000211806788,642,2,7,668
4000000216611398,642,2,14,683
4000001512402288,640,1,14,683
4000003901160141,640,1,8,669
4000140120289678,674,11,14,683
4000001840664155,642,2,14,683
4000003907165556,683,14,17,691
4000140127103530,630,0,14,683
4000000212162030,629,0,13,681
4000000220548838,668,7,15,687
4000000214274064,642,2,7,668
4000003918684666,644,3,13,681
4000140112767971,640,1,14,683
4000000213911881,642,2,14,683
4000000215273378,642,2,14,683
4000000216760534,640,1,5,661
4000000220995994,885,6,11,893
4000000217116461,854,0,14,901
4000000310474743,901,14,17,908
4000140127069935,901,14,17,908
4000000214001894,894,11,14,901
4000000217110772,863,2,14,901
4000000217611663,854,0,13,899
4000001850128397,894,11,14,901
3104920031000497155,886,7,13,899
4000000007167199,884,6,13,899
4000000221886085,894,11,13,899
4000000229009892,884,6,17,908
4000001512436379,863,2,14,901
3104920033000616172,854,0,3,867
4000001855082901,864,2,14,901
3104920032000660081,890,9,15,904
4000001840369537,869,4,8,888
4000000211822564,546,6,7,549
4000001840780806,518,1,13,564
4000001850067706,546,6,14,566
4000003909659744,565,14,17,573
4000000220922049,546,6,14,566
4000001850044437,520,2,7,549
4000001855027825,557,11,13,564
4000140110357995,512,0,7,549
4000000214107037,512,0,5,541
4000000216799669,512,0,7,549
4000001830127062,511,0,1,519
4000140110677549,553,9,14,566
4000140112105104,563,13,15,570
4000000213893409,520,2,5,541
4000001520349606,565,14,17,573
4000001520356198,546,6,14,566
4000001850107404,511,0,7,549
4000003912410733,518,1,4,528
3104920031002713559,518,1,11,557
4000000213833302,528,4,13,564
4000000216313294,556,10,14,566
4000000217365680,520,2,5,541
4000000812023821,512,0,7,549
4000001840541424,518,1,5,541
4000003905924982,512,0,7,549
4000001830069460,528,4,6,546
4000001840559624,526,3,6,546
4000001840665037,512,0,7,549
4000001855219947,565,14,17,573
4000001865000322,521,2,5,541
4000003935897374,526,3,5,541
4000140110235695,564,13,17,573
4000000229008513,518,1,11,557
4000000810010109,546,6,14,566
4000001010638040,528,4,11,557
4000001840266266,546,6,14,566
4000030127033300,512,0,7,549
4000140112198340,520,2,8,550
4000000216718686,518,1,7,549
4000000221233983,518,1,10,556
4000001840164582,563,13,17,573
4000001855094810,521,2,5,541
4000003904072550,563,13,16,572
4000140110597866,564,13,15,570
4000000217207954,565,14,17,573
4000000224199273,564,13,16,572
4000000213468546,518,1,7,549
4000000214067723,521,2,17,573
4000000215677474,521,2,3,526
4000001830340003,520,2,6,546
4000140110200185,557,11,14,566
