STATION_ID,DERECTION,STATION_DISTANCE,LINE_ID
0,0,969,208
1,0,372,208
2,0,709,208
3,0,562,208
4,0,1747,208
5,0,326,208
6,0,3938,208
7,0,1113,208
8,0,798,208
9,0,445,208
10,0,671,208
11,0,237,208
12,0,466,208
13,0,397,208
14,0,882,208
15,0,430,208
16,0,505,208
17,0,788,208
18,0,507,208
19,0,1267,208
20,0,419,208
21,0,586,208
22,0,249,208
23,0,495,208
24,0,1044,208
25,0,265,208
26,0,0,208
0,1,546,208
1,1,1682,208
2,1,586,208
3,1,636,208
4,1,1077,208
5,1,837,208
6,1,641,208
7,1,256,208
8,1,494,208
9,1,832,208
10,1,398,208
11,1,467,208
12,1,557,208
13,1,291,208
14,1,572,208
15,1,242,208
16,1,684,208
17,1,934,208
18,1,4130,208
19,1,231,208
20,1,1209,208
21,1,479,208
22,1,327,208
23,1,1075,208
24,1,0,208
0,0,444,211
1,0,294,211
2,0,785,211
3,0,807,211
4,0,268,211
5,0,575,211
6,0,1267,211
7,0,230,211
8,0,481,211
9,0,495,211
10,0,1425,211
11,0,803,211
12,0,241,211
13,0,436,211
14,0,540,211
15,0,580,211
16,0,253,211
17,0,0,211
0,1,1004,211
1,1,231,211
2,1,1209,211
3,1,479,211
4,1,886,211
5,1,587,211
6,1,633,211
7,1,620,211
8,1,144,211
9,1,1040,211
10,1,486,211
11,1,0,211
0,0,929,278
1,0,442,278
2,0,393,278
3,0,380,278
4,0,519,278
5,0,1186,278
6,0,257,278
7,0,390,278
8,0,245,278
9,0,248,278
10,0,386,278
11,0,522,278
12,0,2572,278
13,0,268,278
14,0,333,278
15,0,442,278
16,0,443,278
17,0,539,278
18,0,340,278
19,0,309,278
20,0,0,278
0,1,339,278
1,1,340,278
2,1,539,278
3,1,418,278
4,1,433,278
5,1,339,278
6,1,274,278
7,1,2645,278
8,1,473,278
9,1,420,278
10,1,217,278
11,1,266,278
12,1,366,278
13,1,1520,278
14,1,593,278
15,1,294,278
16,1,351,278
17,1,429,278
18,1,949,278
19,1,0,278
0,0,270,603
1,0,638,603
2,0,665,603
3,0,1108,603
4,0,671,603
5,0,1189,603
6,0,496,603
7,0,221,603
8,0,524,603
9,0,548,603
10,0,395,603
11,0,950,603
12,0,181,603
13,0,1323,603
14,0,7167,603
15,0,572,603
16,0,1044,603
17,0,846,603
18,0,827,603
19,0,1314,603
20,0,0,603
0,1,2168,603
1,1,744,603
2,1,1070,603
3,1,561,603
4,1,6831,603
5,1,2076,603
6,1,167,603
7,1,823,603
8,1,519,603
9,1,753,603
10,1,314,603
11,1,732,603
12,1,1209,603
13,1,600,603
14,1,959,603
15,1,900,603
16,1,723,603
17,1,772,603
18,1,0,603
0,0,257,683
1,0,153,683
2,0,2065,683
3,0,1056,683
4,0,515,683
5,0,665,683
6,0,559,683
7,0,659,683
8,0,154,683
9,0,347,683
10,0,698,683
11,0,715,683
12,0,363,683
13,0,527,683
14,0,326,683
15,0,578,683
16,0,298,683
17,0,289,683
18,0,222,683
19,0,423,683
20,0,329,683
21,0,527,683
22,0,653,683
23,0,372,683
24,0,0,683
0,1,327,683
1,1,483,683
2,1,834,683
3,1,382,683
4,1,239,683
5,1,263,683
6,1,310,683
7,1,278,683
8,1,541,683
9,1,602,683
10,1,304,683
11,1,763,683
12,1,1223,683
13,1,856,683
14,1,345,683
15,1,696,683
16,1,561,683
17,1,700,683
18,1,237,683
19,1,0,683
