Label,Boarding time,Boarding station,Alighting station,Arrival time
4000000211434660,1176,19,23,1165
4000000221271211,1176,19,23,1165
4000000221872895,1176,19,21,1173
4000000214313676,1120,0,5,1111
4000001512605514,1120,0,23,1113
4000001855018277,1139,5,22,1133
4000003924943750,1167,18,21,1166
4000003934388758,1168,18,21,1166
4000140112643976,1137,4,23,1136
4000200112063123,1167,18,19,1166
4000000001916777,1144,7,18,1143
4000000212153582,1178,20,23,1170
4000000227026589,1128,1,9,1106
4000001512526016,1167,18,19,1166
4000001855169362,1176,19,22,1172
3104770094491902824,1128,1,18,1110
4000001855071051,1133,3,7,1132
4000140112862017,1128,1,10,1120
4000000214558238,1164,17,18,1163
4000000216851096,1120,0,18,1118
4000000220775115,1128,1,24,1123
4000000221808889,1162,16,20,1160
4000000223601848,1159,13,18,1155
4000001855143931,1120,0,19,1114
4000140112702530,1181,21,24,1180
4000000211555651,1120,0,9,1118
4000000213272974,1176,19,22,1172
4000000215700403,1128,1,22,1123
4000000222993895,1162,16,18,1155
4000000311064622,1176,19,22,1163
4000000214004103,1120,0,5,1116
4000000222849649,1128,1,24,1122
4000003905776465,1155,11,21,1154
4000000210716497,1176,19,22,1161
4000000215295727,1144,7,9,1143
4000000217565510,1178,20,23,1177
4000001840306674,1141,6,18,1137
3104920032000800372,925,1,9,917
4000000213697461,931,4,19,924
4000000216870475,934,5,23,927
4000003941064833,921,0,3,918
4000000214799645,941,7,9,938
4000140112765989,956,14,17,952
4000000215226530,942,8,9,932
4000000217270418,925,1,9,923
4000001840679535,955,13,17,948
4000003906794000,959,17,18,947
4000000007062118,940,7,9,939
4000000211340643,969,19,22,962
4000000215583301,927,2,12,910
4000001830006441,921,0,24,916
4000001840266131,934,5,7,931
4000140110635344,969,19,23,967
4000000215526368,927,2,6,925
4000000223338445,940,7,9,939
4000030127011156,955,13,18,946
4000000006053249,952,12,22,947
4000003921792698,976,21,22,975
4000003916764645,962,18,23,953
4000003936327631,943,9,18,939
4000003944937841,931,4,18,912
4000150210006303,949,11,23,948
4000000210485509,931,4,19,924
4000000213918201,914,5,7,905
4000001830228167,954,23,24,949
4000003907414122,935,16,18,934
4000003928084776,945,19,22,937
4000000222644244,916,6,9,912
4000150210063189,951,21,22,944
4000140112529424,926,11,23,925
3104920031003074597,905,1,7,902
4000000214319239,945,19,21,939
4000030127001657,954,23,24,949
4000140112553716,933,15,18,929
4000140129105761,933,15,18,931
4000150210055932,932,14,18,926
4000140110594804,914,5,18,896
4000000217590162,947,20,23,946
4000003935740285,946,19,21,945
4000000227009039,934,16,24,927
4000001512527200,922,9,17,921
4000003943578126,945,19,22,930
4000003944833620,945,19,22,932
4000000214121222,933,15,17,924
4000000217110491,932,14,18,920
4000003908780519,934,16,18,931
4000000214583673,909,3,4,908
4000000412038224,919,7,18,918
4000003923071816,947,20,23,946
4000003926119761,932,14,18,930
3104920031003029310,485,15,17,484
4000003901453390,484,15,19,469
4000030110524919,433,0,3,431
4000140110684060,483,14,23,482
4000140112141752,466,7,9,464
4000140112533769,453,4,13,450
4000140120337471,507,21,22,506
4000140129044058,476,11,20,474
4000000214103296,432,0,7,429
4000000220138826,453,4,24,448
4000000222389104,485,16,22,478
4000000310451853,492,18,19,491
4000001511917526,483,14,18,482
4000001830230589,482,13,18,481
4000003900475279,478,12,18,477
4000001840394878,442,1,24,441
4000001855240462,473,10,17,472
4000003909946477,492,18,21,491
4000030110662370,476,11,18,475
4000050110006051,432,0,14,430
4000140210046884,501,19,22,500
4000000214068355,442,1,21,433
4000000214374135,432,0,11,429
4000000214492636,492,18,21,491
4000000217206980,485,15,18,484
4000000224062692,491,18,20,489
4000000310164778,436,0,13,434
4000001512051981,458,5,9,457
4000001520402667,432,0,2,429
4000140129099078,492,18,22,490
4000150227001980,444,2,7,427
4000000217029139,491,18,21,490
4000000224023912,491,18,20,490
4000001840923568,483,14,19,481
4000030110841520,492,18,19,490
4000140120204130,470,9,17,467
4000000004651949,443,1,4,442
4000000221781997,453,4,8,452
4000001850099370,433,0,4,427
4000001855032065,491,18,20,490
4000003911911161,437,0,6,434
4000030110577942,478,12,17,477
4000140129099054,492,18,20,490
4000001840333062,492,18,19,490
4000003903286413,484,15,20,476
4000003942213386,433,0,4,432
4000030110293284,442,1,24,439
4000140127092332,478,12,18,477
4000140210010546,432,0,9,431
4000150210060802,482,13,18,481
4000001840647877,492,18,19,490
4000001850238463,492,18,23,490
4000030110859643,482,13,18,481
4000140112988142,482,13,18,481
4000000211102805,443,1,9,442
4000000212167362,468,8,18,460
4000000215186420,483,14,23,482
4000140120056770,492,18,19,491
4000150210061391,492,18,19,491
