Label,Boarding time,Boarding station,Alighting station,Arrival time
4000140112022863,856,7,14,849
4000003903345581,833,1,3,832
4000000216634946,878,17,25,875
4000001512591685,865,12,25,862
4000001830077450,835,2,6,829
4000140112609335,833,1,4,832
4000000213362149,837,3,7,835
4000140112993965,856,7,11,845
4000000000794787,857,7,8,856
4000140112078087,856,7,14,842
4000140112547848,856,7,12,855
4000140120331187,857,7,12,856
4000000210400437,847,5,7,846
4000000001633065,887,20,23,873
4000001520252698,835,2,4,833
4000001850181342,833,1,7,832
4000003904345593,847,5,7,846
4000003911837266,834,1,26,833
4000000223066985,856,7,11,852
4000000214066502,676,11,25,667
4000003940929746,634,0,26,630
4000150210034466,646,1,7,642
4000001520446117,671,8,10,670
4000001512615231,695,20,26,692
4000001840921605,700,23,26,697
4000003900646279,695,20,26,689
4000003923730510,646,1,6,645
4000001830339429,660,5,7,654
4000001840523053,649,2,26,648
4000001855234309,697,21,26,696
4000000310923945,660,5,7,654
4000001840781558,662,6,25,661
4000000221577737,668,7,8,667
4000003901253985,648,2,7,633
4000003910283765,676,11,25,672
4000140120338487,653,4,7,637
4000140210051545,634,0,26,631
4000001512069128,653,4,10,649
4000000215700118,641,0,26,638
4000000210053127,827,20,26,824
4000001512566534,834,24,26,822
4000003921331091,833,23,26,832
4000140112843594,789,6,10,788
4000150210064632,777,2,6,776
4000030111078351,774,1,5,768
4000000215111148,787,5,7,786
4000000223408554,825,19,26,821
4000000224059212,795,7,8,793
4000001855304775,799,8,10,798
4000140112011117,782,4,7,781
4000000223102582,770,0,7,764
4000000210753568,827,20,26,826
4000001512386341,787,5,7,786
4000140112702530,771,0,2,766
4000000004312296,834,24,26,821
4000000212787109,827,20,26,812
4000000212042232,774,1,7,772
4000000217150525,825,19,26,822
4000000227009939,834,24,26,832
4000003907257644,829,21,26,824
4000140110205978,810,13,25,809
4000140112841080,796,7,11,795
4000000211891576,830,17,26,829
4000030110962616,838,19,26,835
4000001830315898,799,5,7,796
4000003904689182,801,6,7,800
4000030110524606,799,5,7,796
3104920031001205987,846,23,26,841
4000000216351435,842,21,26,838
4000001520262711,808,7,12,807
4000001830285649,801,6,13,800
4000003904410361,788,1,7,778
4000140210032820,790,2,20,786
4000000221580595,808,7,12,807
4000001520198278,838,19,26,830
4000140120251866,808,7,10,807
4000000223234355,830,17,26,829
4000003927860105,799,5,7,794
3104920031000174564,790,2,6,782
4000001840302427,799,5,7,797
4000003918087739,851,25,26,850
4000000214662887,788,1,13,771
4000000216884965,842,21,26,836
4000000310365619,793,3,7,789
4000003943280935,838,19,26,833
3104920033000419684,605,24,26,602
4000000211465538,547,3,7,546
4000000214980695,542,1,4,536
4000001840937573,542,1,7,535
4000140110377675,573,12,25,572
4000140112298399,547,3,25,544
4000140129014772,573,12,21,571
4000150210082331,571,10,19,570
4000000211256331,577,13,25,573
4000001512595214,536,0,2,531
4000001840684302,536,0,20,534
4000003931483985,572,11,19,570
4000001855252803,529,0,1,528
4000003918302547,536,0,13,529
4000000007654400,467,10,22,466
4000000215507404,457,7,8,455
4000003928066084,456,7,10,455
4000003929072557,485,17,21,484
4000003929603275,485,17,21,484
4000140129000297,469,11,26,463
4000000211384575,477,14,26,476
4000000211772007,434,2,21,430
4000000220847826,457,7,8,456
4000000222336775,445,6,7,444
4000001512555327,456,7,17,455
4000001855302846,456,7,14,455
3104920031001386415,433,1,2,430
4000000222261247,497,19,26,488
4000001512320884,469,11,26,464
4000001855266690,457,7,8,456
4000030127002924,469,11,21,467
4000140112139644,500,20,26,491
4000001520081068,469,11,26,465
4000140110483745,467,10,20,466
4000140110493739,435,2,6,434
4000140112628632,508,24,26,507
4000140210056835,469,11,26,464
4000150210066068,485,17,26,484
4000000221850701,456,7,8,455
4000001850064055,507,23,26,506
4000003910372835,483,16,21,476
4000140110169736,432,1,3,431
4000140120048907,467,10,25,466
4000000221507463,456,7,25,455
4000001840067302,469,11,26,460
4000001840562939,432,1,3,431
4000001840978094,456,7,8,455
4000003904231186,469,11,21,468
4000003932621690,469,11,26,465
4000000004801778,502,21,25,496
4000000222480260,434,2,7,431
4000001840804684,485,17,21,484
4000003902743540,492,18,21,482
4000003908407700,456,7,12,455
4000030110744199,456,7,8,455
4000140112618525,426,0,1,423
4000000215056845,508,24,26,506
4000001840310412,493,18,21,492
4000003912378564,500,20,26,493
4000003935487192,456,7,12,455
4000140112024460,432,1,3,431
4000000210419440,497,19,26,492
4000001855040248,614,20,26,613
4000003908026089,558,1,26,557
4000003930544313,543,0,7,542
4000003932182123,589,10,26,582
4000001840413194,589,10,26,581
4000030127030209,560,2,6,559
4000140110450973,560,2,4,559
4000140112570123,611,19,26,610
4000000214272217,572,6,10,571
4000001840445723,581,7,10,580
4000003900441923,558,1,6,557
4000000213750861,550,0,2,544
4000001529001665,581,7,8,580
4000003925778451,560,2,10,559
4000140112175011,580,7,10,575
4000140112481055,589,10,26,570
4000000210287256,549,0,7,543
4000000211413685,581,7,10,580
4000001840294746,558,1,6,557
4000000213473029,611,19,26,610
4000003918334634,585,8,13,584
4000140110566535,589,10,26,576
4000140112621397,560,2,7,559
3105170070170566228,581,7,10,580
4000001830243740,589,10,26,586
4000001840828549,558,1,6,557
4000140120230382,589,10,26,582
4000000213500467,560,2,7,559
4000000214680481,572,6,19,571
4000000215266643,565,4,7,564
4000000216231258,570,5,26,569
4000000222713066,620,24,26,619
4000003900335113,581,7,17,580
4000030127009298,580,7,11,575
4000150210060768,558,1,2,557
3104920033000014931,585,8,10,584
4000000211782009,611,19,21,610
4000030110838808,619,24,26,614
4000140112464184,560,2,7,558
4000140120224914,589,10,26,580
4000000212320104,581,7,13,580
4000000212455827,558,1,6,557
3104920033000524129,517,1,4,507
4000001512493652,542,7,10,541
4000140110022355,520,2,3,519
4000200112060578,504,0,1,501
4000140110443198,548,10,26,540
4000140110534981,520,2,3,519
4000140122046965,534,6,18,533
3104920031001762490,542,7,8,541
4000000213822837,541,7,10,531
4000000220516390,555,13,26,554
4000000224204602,500,0,11,494
4000001830126977,534,6,7,533
4000001840502310,517,1,4,511
4000003908447414,524,3,6,520
4000003930414111,569,18,26,568
4000140110145695,500,0,3,497
4000140112422534,534,6,7,533
4000140120210196,520,2,3,519
4000140120243893,548,10,26,547
4000150210004196,545,8,18,544
4000000216564330,517,1,6,496
4000140110569212,551,11,26,550
4000140112972348,548,10,26,540
4000140120205411,551,11,25,550
3104920031002899606,550,11,26,543
3105170070106890915,555,13,26,554
4000000210044803,583,24,26,582
4000140120244437,524,3,4,516
3104920031000778109,542,7,11,541
3104920031001213601,583,24,26,582
4000001512277554,550,11,20,543
4000001840227202,542,7,8,541
4000140120150636,563,17,26,560
4000000223436166,520,2,6,519
4000001840091446,542,7,10,541
4000001840981494,542,7,8,541
4000003943403556,542,7,10,541
4000001520392822,500,0,7,497
4000140110209260,524,3,4,508
4000140110317803,526,4,5,525
4000140110534932,524,3,5,514
4000140120115563,563,17,25,559
4000000222997212,542,7,10,541
4000140110476984,548,10,26,547
4000140112494493,524,3,5,513
4000140129111889,551,11,25,550
3104920031001532521,550,11,26,548
4000000210501101,548,10,26,542
4000001512526016,534,6,7,533
4000001850183179,520,2,3,519
4000140112031038,561,16,25,560
4000150210062193,549,10,26,548
3104920031003065470,548,10,26,542
4000030127038945,895,2,5,892
4000000221185035,946,24,26,945
4000001850003799,905,6,7,904
4000140110156278,893,1,6,892
4000140112135556,885,0,17,882
4000140112751552,893,1,7,892
4000000222374794,912,7,11,911
4000140210082676,897,3,7,885
4000000216708549,915,8,10,913
4000003924305096,912,7,25,911
4000140129001071,885,0,17,882
4000000214085530,940,20,26,939
4000000222977219,904,5,7,903
4000001520103186,935,18,26,925
4000000005878813,912,7,8,911
4000001520072886,904,5,7,903
4000000211753128,921,11,25,920
4000000216428818,897,3,25,896
4000000216838947,912,7,11,911
4000030111019310,912,7,12,911
4000000215683321,904,5,7,903
4000003915125811,904,5,7,903
4000001840860524,822,3,25,809
4000000221575928,843,7,13,842
4000000224219163,817,1,3,816
4000000310869959,873,20,26,868
4000003913739710,834,5,7,826
4000030127044484,819,2,6,818
4000140129043073,860,14,19,859
4000150210096774,854,11,26,842
4000000220840325,852,10,26,851
4000000221847481,819,2,4,818
4000140110016081,877,24,26,871
4000001840216465,817,1,3,815
4000001840501909,847,8,10,846
4000003921780534,877,24,26,875
4000000212342492,807,0,2,805
4000000215560878,837,6,7,836
4000003926516302,835,5,7,834
4000000213661865,837,6,17,836
4000000217110491,837,6,10,836
4000000229001102,819,2,22,818
4000001830264283,817,1,4,816
4000000211994728,807,0,7,794
4000140210010659,854,11,26,836
4000000212030322,817,1,7,816
4000000212702151,871,19,26,870
4000001840877042,844,7,8,843
4000003910240498,837,6,13,836
4000003916915116,901,25,26,899
4000000221608870,843,0,5,842
4000000213519333,844,0,7,840
4000140210026963,857,5,7,854
4000000215385846,872,12,25,867
4000001520103679,894,23,26,889
4000000810006159,857,5,7,848
4000200112003508,847,0,6,826
4000000220978477,849,0,6,847
4000000810035738,899,25,26,898
4000000221385750,843,0,5,839
3104920031000426899,1265,8,14,1264
4000003906203028,1255,6,7,1254
4000003924179476,1261,7,11,1216
4000140110273837,1262,7,10,1261
4000140127090151,1292,20,22,1291
4000000310428420,1249,4,7,1247
4000000215135639,1265,8,11,1264
4000003909339178,1289,19,26,1287
4000000310410317,1249,4,7,1244
4000000312229766,1242,1,6,1237
3104920032000718848,1254,5,7,1252
4000000412012832,1269,11,25,1258
4000003940348901,1292,20,25,1291
4000003907618819,1255,6,7,1254
4000030111039972,1265,8,11,1264
4000003927480563,1253,5,7,1216
4000003935740285,1247,3,6,1212
4000000210542266,1292,20,26,1291
4000000215274827,1261,7,8,1259
4000001840839094,1288,19,26,1265
4000000223510858,415,18,26,414
4000000223874310,366,1,4,360
4000001512487477,360,0,11,355
4000140127076493,415,18,20,414
4000150210063486,366,1,4,365
4000000211005088,425,23,26,424
4000000213501092,374,4,7,373
4000000214039444,381,6,25,378
4000000216811613,386,7,13,378
4000000217421590,425,23,26,424
4000000221637254,368,2,6,365
4000140112615583,425,23,26,424
3104920031320135279,380,6,7,379
4000000215731164,368,2,7,357
4000000221662727,415,18,26,414
4000000810031044,424,22,25,423
4000001840925111,386,7,8,383
4000140120238647,417,19,26,412
4000000213789348,415,18,26,414
4000000220318255,415,18,26,414
4000000312124926,363,0,4,354
4000001512371715,415,18,26,414
4000001855281515,400,12,21,398
4000003933883037,400,12,25,399
4000140112097831,427,24,26,426
4000150210049125,380,6,7,379
4000000217598286,374,4,7,373
4000000311160309,366,1,7,361
4000140110352903,415,18,25,414
4000000210119254,399,12,21,398
4000000217128485,390,8,10,379
