Label,Boarding time,Boarding station,Alighting station,Arrival time
4000000217633120,1095,19,26,1082
4000140122007729,1040,1,3,1037
4000000210271565,1071,11,26,1070
4000000215526916,1071,11,26,1070
4000000216478349,1055,5,26,1053
4000001512575674,1041,1,7,1040
4000140120290020,1083,16,19,1073
4000140129095277,1043,2,6,1042
4000001512555564,1055,5,7,1050
4000001840378063,1068,9,20,1065
4000001850188659,1105,24,26,1104
4000003904816981,1072,12,20,1071
4000030127047231,1056,6,15,1045
4000000221444712,1032,0,1,1031
4000003937671818,1041,1,5,1040
4000140112577074,1095,19,25,1075
3104920031001431302,1095,19,26,1084
4000000211421242,1063,7,20,1062
4000000221890893,1055,5,7,1050
4000000222507923,1083,16,26,1075
4000000223126092,1068,9,25,1054
4000000227002084,1069,10,18,1055
4000000210696165,1066,8,15,1061
4000000212401043,1070,11,15,1068
4000000221363500,1086,17,26,1085
4000140110591456,1041,1,7,1040
4000000217397252,1099,20,26,1096
4000050110005138,1076,13,26,1075
4000140110482100,1092,18,26,1080
3104920031000385004,1105,24,26,1086
4000000216505246,1066,8,12,1063
4000000310662784,1086,17,26,1085
4000001512363806,1056,6,7,1040
4000140112919993,1092,18,26,1087
4000140112954045,1041,1,7,1040
4000140129037509,1083,16,22,1082
4000000217391905,1106,24,26,1105
4000000221891015,1071,11,26,1070
4000003908521828,1041,1,7,1040
4000030110810369,1040,1,7,1039
4000030127009199,1040,1,7,1034
4000140112572860,1070,11,15,1054
4000140129068051,1105,24,26,1103
4000000310957489,1105,24,26,1091
4000030127022855,1040,1,7,1039
4000140110153766,1040,1,4,1035
4000140110463726,1046,3,7,1044
4000140120305142,1106,24,25,1105
3104920031002401718,1104,23,26,1095
4000000211557601,1034,0,6,1027
4000000223224360,1019,7,8,1006
4000140112860119,1027,11,14,1024
4000001840603708,1013,6,7,1012
4000001850148062,1019,7,25,1011
4000140110329267,1053,21,26,1051
4000140112618879,1023,8,9,1022
4000140129105712,991,0,7,989
4000150210089934,1011,5,7,1005
4000003927401055,1003,4,7,1002
4000140112860118,1028,11,26,1027
4000000220057267,1027,11,26,1026
4000003918304908,1030,13,17,1029
4000000006724377,1025,10,26,1023
4000001520402667,1056,24,26,1055
4000150110022002,1013,6,7,1012
4000001840331213,1027,11,26,1017
3105170070156040127,1013,6,7,1012
4000000215163020,1001,3,25,1000
4000000220077351,1023,8,9,1022
4000000220962641,1003,4,7,1002
4000000227000792,1013,6,8,1012
4000000310120219,1052,20,26,1047
4000001840409208,997,1,20,996
4000000223967357,1022,8,9,1017
4000001840976281,1049,19,26,1041
4000001850067781,1020,7,12,1019
4000140112397515,1025,10,26,1016
4000000210014312,998,2,8,997
4000000211307589,1019,7,18,1008
4000030129006129,1023,8,9,1022
4000000216916150,789,11,25,772
4000001840679535,780,7,11,779
4000140120202394,761,2,6,760
4000000221781919,801,17,26,797
4000140112622624,787,10,11,785
4000140129103227,797,15,19,795
3105170070119818727,772,5,7,765
4000140112298103,815,23,26,811
3104920031320077638,786,9,26,783
3104920033000570320,795,14,19,794
4000000216467188,806,19,25,798
4000003901963604,815,23,26,794
4000003936896785,797,15,26,782
4000000222717314,790,11,25,789
4000140112851850,780,7,8,779
4000000007764732,790,12,25,784
4000140120066544,758,1,5,757
4000200110010553,816,24,26,810
3104920031002079068,786,9,26,772
4000000213667234,805,18,26,794
4000000220994993,386,1,7,385
4000140110026265,386,1,5,385
4000000006815274,404,7,26,400
4000000310148863,434,23,26,429
4000001512487477,383,0,11,377
4000001830073919,404,7,9,403
4000140112476065,389,2,3,388
4000000212814725,435,24,26,434
4000000212381082,392,4,7,381
4000000217481665,398,6,9,397
4000000223689341,409,9,20,408
4000003913288516,391,3,14,390
4000000215731164,389,2,7,388
4000000223156202,398,6,9,397
4000003911911554,404,7,20,401
4000000214545159,434,23,26,433
4000000214772615,407,8,9,406
4000140112991742,386,1,4,385
4000000216449335,426,18,21,425
4000000220890607,412,11,20,408
4000140110611612,430,21,25,424
4000200112002572,386,1,7,385
4000140112654607,427,19,25,421
4000000087015569,412,11,25,409
4000000310647669,392,4,7,388
4000001840342432,435,24,26,434
4000140120132679,433,22,25,428
4000140127022294,407,8,10,403
4000000210950445,409,9,22,408
4000000007028758,1157,20,26,1153
4000030110821082,1117,5,7,1112
4000140110625291,1117,5,7,1114
4000140112422534,1125,7,12,1116
4000001520407978,1155,19,26,1154
4000001840970880,1136,12,20,1132
4000003929926353,1117,5,7,1115
4000000212858524,1145,15,26,1143
4000000214535031,1107,2,7,1090
4000000222841245,1128,8,9,1120
4000000224069067,1108,2,6,1107
50000010011000839311,1117,5,7,1113
4000000211926557,1128,8,10,1126
4000000216853402,1154,19,26,1151
4000000220369416,1128,8,9,1125
4000001840764227,1160,23,26,1157
4000003904290476,1128,8,9,1121
4000000220806512,1162,24,26,1161
4000003911911161,1153,18,26,1149
3104920031002839032,1129,8,9,1128
4000003944361488,1158,21,26,1155
4000000007415714,1150,17,21,1149
4000000210994876,1112,4,7,1111
4000000213750861,1108,2,18,1107
4000001840059419,1129,8,9,1128
4000000213156152,1106,1,3,1105
4000000215335406,1135,11,19,1134
4000001855262188,1129,8,9,1127
4000003933963494,1117,5,7,1108
4000140112967186,1132,9,22,1125
4000000215483794,1128,8,9,1122
4000001840464628,1106,1,7,1105
4000000221556266,1139,13,26,1138
4000000221873619,1132,9,22,1128
4000001840808316,1117,5,7,1114
4000003919523067,1118,5,7,1117
4000003926938845,1119,6,22,1118
4000140120322881,1158,21,26,1152
4000000211628074,1128,8,9,1112
4000001512310832,737,7,10,736
4000003924305096,738,7,25,737
4000003940325852,737,7,10,732
4000001850235203,729,5,18,728
4000140120124974,744,10,11,743
3104920031001716694,767,21,26,766
4000000213499654,729,5,7,728
4000000221736547,729,5,7,727
4000001855094445,765,20,25,759
4000000312169538,719,4,7,718
4000000005880942,754,15,26,753
4000000216295077,750,13,26,749
4000000221704911,729,5,11,728
4000030110972206,761,18,25,750
4000000216289500,705,0,7,698
4000003944032491,738,7,10,737
4000030110907807,729,5,25,728
4000003906303766,738,7,10,737
4000003916941950,753,15,19,746
4000000211687066,761,18,25,758
4000000221899402,713,1,7,712
4000000222629788,715,2,25,714
4000140110338377,753,15,26,752
4000000224093844,737,7,10,734
3104920033000502679,946,15,25,941
4000030110896364,935,9,26,930
4000140127057311,959,20,26,948
4000001840719841,902,0,7,899
4000140110463852,938,11,25,937
4000000216974693,935,9,26,920
4000001520362315,961,21,26,960
50000010011000890782,948,16,19,947
4000030110809076,938,11,26,937
4000000216429426,938,11,26,937
4000000221219948,920,5,26,919
4000001830243971,928,7,8,927
4000150210061510,912,3,7,910
4000000216773722,965,24,26,957
4000000214561909,1138,5,7,1127
4000140120250850,1127,2,4,1126
50000010011000760168,1127,2,7,1126
4000000215023346,1187,24,26,1185
4000000217070168,1151,8,10,1150
4000000220985844,1127,2,7,1126
4000001855036844,1116,0,2,1114
4000001855084111,1147,7,8,1126
4000003903614513,1133,4,7,1132
4000140110006618,1138,5,7,1129
4000001830347926,1133,4,7,1132
4000003929232722,1133,4,7,1132
4000140112252202,1133,4,6,1132
4000140112616894,1125,1,3,1124
4000000224074532,1138,5,7,1129
4000140120228648,1178,19,22,1177
4000000214138165,1168,16,19,1153
4000001512566485,1138,5,7,1129
4000001840731242,1156,11,25,1144
4000003902453527,1178,19,26,1177
