Label,Boarding time,Boarding station,Alighting station,Arrival time
4000000214127774,521,17,19,520
4000140110011451,490,0,15,489
4000140110613765,523,18,19,520
4000000212021266,497,2,18,495
4000000212315247,489,0,15,468
4000140110596657,519,15,19,515
4000140112930122,500,4,19,495
4000000006681510,519,15,19,517
4000000220738184,491,0,15,489
4000000222188943,520,17,19,516
4000003931387644,519,15,19,516
4000000211846689,500,4,19,498
4000000221451186,521,17,19,520
4000001840308954,523,18,19,520
4000030111016859,493,1,19,492
4000000210223393,520,15,19,519
4000140129053561,523,18,19,520
4000000220115161,493,1,15,492
4000001522018311,490,0,19,489
4000000215355222,499,3,17,495
4000001840897652,493,1,19,492
4000000214148756,701,7,15,693
4000140112417546,693,1,3,689
4000140112069878,717,14,17,716
4000000221862408,721,17,19,718
4000003907813842,721,17,19,715
4000003905908381,696,3,19,691
4000140112497728,695,2,19,694
4000000223571979,695,2,19,694
4000140120095765,718,15,19,713
4000001855210027,696,3,6,691
4000003903568255,693,1,3,686
4000140112552745,695,2,19,694
4000140120276228,716,14,17,710
4000140110305755,695,2,17,694
4000003907497674,840,12,19,837
4000003906561040,824,4,13,823
4000003941712065,840,12,19,839
4000140110072082,819,1,3,818
4000003908387544,820,2,6,813
4000140127081971,826,5,16,825
4000001512398642,836,9,15,833
4000001830361443,842,13,19,841
4000003906167525,820,2,6,815
4000003912037061,824,4,19,823
4000003923403855,836,9,19,832
3104920033000165865,842,13,15,841
4000140120098041,841,13,15,832
4000140120114106,820,2,14,814
4000000215054115,842,13,19,841
4000140112608472,824,4,19,823
4000001512433290,822,3,19,821
4000003923403928,836,9,19,833
4000140112835186,838,10,19,837
4000003930143005,824,4,19,823
3104920031002002367,849,15,19,848
4000000213463669,849,15,19,848
4000000213952826,822,3,19,818
4000000221931328,852,17,19,851
4000000214022229,836,9,19,828
4000003944009059,820,2,6,814
4000000214148068,458,3,6,454
4000140110313847,455,2,15,454
4000140129004369,455,2,19,454
4000140127000695,473,9,19,470
4000000215669260,475,11,16,470
