Label,Boarding time,Boarding_station,Alighting_station,Arrival_time,Date
4000000312308601,428,5,15,454,2023-08-01
4000001840510750,440,9,13,451,2023-08-01
4000140127050291,440,9,11,444,2023-08-01
4000000214990927,450,13,14,453,2023-08-01
4000000220117394,421,2,16,456,2023-08-01
4000000222870174,450,13,16,456,2023-08-01
4000001840932526,444,11,13,451,2023-08-01
4000001840939190,433,7,13,451,2023-08-01
4000001840523676,444,11,13,451,2023-08-01
4000001850173312,434,8,11,444,2023-08-01
4000030110913894,440,9,15,454,2023-08-01
4000140110476170,427,4,6,431,2023-08-01
4000140112007668,454,15,16,456,2023-08-01
4000000210246131,442,10,15,454,2023-08-01
4000000216896453,444,11,15,454,2023-08-01
4000001520394936,427,4,8,435,2023-08-01
4000030110955216,427,4,15,454,2023-08-01
4000140110181162,450,13,15,454,2023-08-01
4000200112016955,425,3,16,456,2023-08-01
4000000216111687,428,5,16,456,2023-08-01
4000000221817473,420,1,7,433,2023-08-01
4000001520393256,429,6,10,443,2023-08-01
4000001840201846,422,2,15,454,2023-08-01
4000001840857359,428,5,15,454,2023-08-01
4000140110340971,422,2,8,435,2023-08-01
4000140112783143,440,9,13,451,2023-08-01
4000000007011883,444,11,17,457,2023-08-01
4000000210304870,427,4,13,451,2023-08-01
4000000224066796,422,2,6,431,2023-08-01
4000001855124115,429,6,9,441,2023-08-01
4000003931405468,440,9,15,454,2023-08-01
4000003937793708,446,12,17,457,2023-08-01
4000030120007050,427,4,9,441,2023-08-01
4000000001058161,425,3,15,454,2023-08-01
4000000210943109,433,7,16,456,2023-08-01
4000000221865380,429,6,16,456,2023-08-01
4000140112551299,425,3,6,431,2023-08-01
4000000210354558,450,13,14,453,2023-08-01
4000000222020308,433,7,16,456,2023-08-01
4000000223219470,421,2,13,451,2023-08-01
4000000312155973,440,9,16,456,2023-08-01
4000000810017791,442,10,15,454,2023-08-01
4000001840350685,429,6,16,456,2023-08-01
4000000212496591,1139,12,15,1148,2023-08-01
4000001840337965,1133,9,12,1140,2023-08-01
4000140110329735,1123,4,13,1144,2023-08-01
4000000310761330,1134,9,15,1148,2023-08-01
4000030110934723,1120,3,15,1148,2023-08-01
4000030129004215,1120,3,15,1148,2023-08-01
4000140110532434,1130,8,15,1148,2023-08-01
4000140112632980,1112,0,6,1128,2023-08-01
3104920033000369640,1133,9,15,1148,2023-08-01
4000000216742588,1133,9,15,1148,2023-08-01
4000000217316891,1134,9,15,1148,2023-08-01
4000001520290953,1140,12,13,1144,2023-08-01
4000003932722399,1114,1,6,1128,2023-08-01
4000140112642215,1130,8,15,1148,2023-08-01
4000000215348452,1129,7,15,1148,2023-08-01
4000003905935332,1134,9,11,1137,2023-08-01
3104920033000339262,1144,13,15,1148,2023-08-01
4000000211499690,1125,5,9,1134,2023-08-01
4000000214569319,1114,1,9,1134,2023-08-01
4000000217258058,1133,9,14,1146,2023-08-01
4000000220506325,1127,6,12,1140,2023-08-01
4000000812016057,1136,10,15,1148,2023-08-01
4000001830273731,1133,9,16,1149,2023-08-01
4000003934470183,1121,3,15,1148,2023-08-01
4000000224083784,1133,9,15,1148,2023-08-01
3104920031002286556,1133,9,15,1148,2023-08-01
4000001855118516,1133,9,16,1149,2023-08-01
4000140210087646,1144,13,15,1148,2023-08-01
4000150210066349,1133,9,15,1148,2023-08-01
4000000221450495,1134,9,15,1148,2023-08-01
3104920031002896917,1133,9,12,1140,2023-08-01
4000000001841448,462,6,15,488,2023-08-01
4000001830260184,460,5,15,488,2023-08-01
4000001840968012,471,9,12,478,2023-08-01
4000003925422748,461,6,16,490,2023-08-01
4000140210049093,482,13,16,490,2023-08-01
4000150210006662,459,4,7,466,2023-08-01
4000200112064146,456,3,7,466,2023-08-01
4000140110134951,449,1,10,474,2023-08-01
4000140120190930,449,1,6,465,2023-08-01
4000000005945254,466,7,16,490,2023-08-01
4000000211707899,473,10,15,488,2023-08-01
4000000220512040,460,5,15,488,2023-08-01
4000001512567254,482,13,15,488,2023-08-01
4000001830207145,466,7,15,488,2023-08-01
4000140110510143,456,3,6,465,2023-08-01
4000140112665770,459,4,13,483,2023-08-01
4000000001529948,482,13,15,488,2023-08-01
4000000210114099,482,13,17,491,2023-08-01
4000000212723475,461,6,15,488,2023-08-01
4000000216761182,455,3,15,488,2023-08-01
